BirdID,PlaybackType,FinalSong,GOSong,NOGOSong
042,NO-GO,326,455,326
261,GO,326,326,455
UNB12_15_10,NO-GO,326,455,326
067,GO,338,338,487
E176DC,NO-GO,338,487,338
006,NO-GO,352,447,352
332,GO,352,352,447
017,NO-GO,367,434,367
162,GO,367,367,434
301,GO,368,368,464
354,NO-GO,368,464,368
182,NO-GO,434,367,434
384,GO,434,434,367
015,NO-GO,444,457,444
E297DC,GO,444,444,457
010,GO,447,447,352
338,NO-GO,447,352,447
451,NO-GO,455,326,455
UNB12_15_09,GO,455,455,326
UNB12_15_11,GO,455,455,326
400,NO-GO,457,444,457
UNB12_15_07,GO,457,457,444
188,GO,464,464,368
322,NO-GO,464,368,464
E044DC,NO-GO,487,338,487
E294DC,GO,487,487,338
